s	isFemale
HG00096	false
HG00099	true
HG00105	false
HG00118	true
HG00129	false
HG00148	false
HG00254	true
HG00271	false
HG00332	true
HG00335	false
HG00421	false
HG00452	true
HG00472	false
HG00534	true
HG00583	false
HG00598	false
HG00619	false
HG00623	true
HG00657	true
HG00663	true
HG00704	false
HG00705	true
HG00733	true
HG00881	false
HG01052	true
HG01070	true
HG01075	false
HG01164	false
HG01174	true
HG01241	false
HG01248	true
HG01256	false
HG01275	true
HG01284	true
HG01334	false
HG01348	true
HG01396	true
HG01443	false
HG01491	false
HG01498	true
HG01537	true
HG01572	true
HG01606	false
HG01623	true
HG01630	false
HG01783	false
HG01784	true
HG01790	true
HG01799	true
HG01801	true
HG01806	true
HG01812	true
HG01813	true
HG01817	true
HG01848	true
HG01849	false
HG01857	true
HG01863	true
HG01874	true
HG01915	true
HG01924	true
HG01965	true
HG01970	false
HG01991	false
HG02010	true
HG02020	false
HG02054	true
HG02086	true
HG02087	true
HG02116	false
HG02122	false
HG02130	true
HG02152	true
HG02154	true
HG02165	true
HG02232	true
HG02236	false
HG02250	false
HG02259	false
HG02298	true
HG02345	true
HG02351	false
HG02363	false
HG02373	false
HG02383	false
HG02384	false
HG02386	false
HG02388	false
HG02389	false
HG02397	false
HG02419	true
HG02462	true
HG02464	false
HG02497	true
HG02521	false
HG02561	false
HG02574	true
HG02580	true
HG02595	true
HG02603	false
